		Astrodon Photometrics  Johnson/Cousins Filters															
Wavelength (nm)	UV	B	V	Rc	Ic												
438	4.53E-05	93.37600708	9.98E-05	8.29E-05	0.003138787
439	4.99E-05	92.85939789	8.21E-05	4.67E-05	0.002491062
440	4.52E-05	91.93127441	9.11E-05	3.66E-05	0.002760274
441	3.93E-05	90.97960663	3.15E-05	1.92E-05	0.003156413
442	3.27E-05	90.29948425	0.000193252	1.45E-05	0.002786117
443	2.86E-05	89.55259705	3.45E-05	2.74E-05	0.001842725
444	4.30E-05	89.22918701	0.000125443	2.07E-05	0.00107617 
445	4.86E-05	88.73447418	0.000137414	1.71E-05	0.000708277
446	5.18E-05	88.42245483	2.51E-05	1.89E-05	0.000583937
447	4.82E-05	87.98830414	9.76E-05	2.35E-05	0.000560197
448	3.31E-05	86.90731812	5.82E-05	2.06E-05	0.00056865 
449	4.50E-05	85.33221436	0.000121368	2.35E-05	0.000617088
450	4.91E-05	83.43190765	0.000102801	2.12E-05	0.000640352
451	4.66E-05	81.4172821	0.000168632	2.77E-05	0.000653733
452	3.12E-05	79.81130219	0.000131366	2.51E-05	0.000694491
453	2.85E-05	78.54666901	0.000246294	2.77E-05	0.000778363
454	2.76E-05	77.72744751	0.000296932	2.72E-05	0.000982983
455	3.46E-05	77.04280853	0.00029418	2.50E-05	0.001286897
456	3.45E-05	76.80738831	0.000158438	3.09E-05	0.001513245
457	3.81E-05	76.60565948	0.000155186	4.07E-05	0.001392496
458	2.85E-05	76.35205078	0.000200437	5.98E-05	0.00102612 
459	2.68E-05	75.68494415	0.000167619	7.67E-05	0.000662472
460	2.85E-05	74.51424408	0.000235112	6.74E-05	0.000460914
461	3.84E-05	72.86114502	0.00032894	6.53E-05	0.000369242
462	2.94E-05	71.19015503	0.000450624	5.03E-05	0.000342231
463	2.42E-05	69.18600464	0.000817084	3.43E-05	0.000367   
464	1.50E-05	66.80779266	0.001789883	3.64E-05	0.000470345
465	1.24E-05	64.30712891	0.005192439	4.57E-05	0.000725678
466	1.69E-05	62.14413452	0.0178739	4.69E-05	0.001351168
467	1.01E-05	59.9865303	0.053724788	2.70E-05	0.002372213
468	1.45E-05	58.0221405	0.111297146	2.75E-05	0.00327235 
469	1.72E-05	56.08769226	0.162215948	2.24E-05	0.003191883
470	1.65E-05	53.73377228	0.207876071	2.67E-05	0.002443881
471	1.00E-05	51.17115784	0.302574813	2.77E-05	0.00182622 
472	1.71E-05	48.5524826	0.548847914	1.71E-05	0.001659883
473	9.90E-06	45.78894424	1.057855964	3.48E-05	0.001912893
474	1.91E-05	43.0424881	1.766040921	6.29E-05	0.002704982
475	1.67E-05	40.52923203	2.336269379	0.000209167	0.004146415
476	1.74E-05	38.4993782	2.679159403	0.000546269	0.005506763
477	9.23E-06	36.7220993	3.086158276	0.000676512	0.005602724
478	1.62E-05	35.39202499	3.944886923	0.000367112	0.004406261
479	1.49E-05	34.27280426	5.523901463	0.000103484	0.003123913
480	2.37E-05	33.3657608	7.952086449	5.47E-05	0.00243204 
481	2.36E-05	32.47066498	11.1226387	5.23E-05	0.002266776
482	2.45E-05	31.542202	14.74534416	6.04E-05	0.002522236
483	1.41E-05	30.43418503	18.52665901	8.32E-05	0.003084175
484	1.39E-05	29.28293419	22.47628021	0.000221374	0.003960834
485	1.61E-05	28.03982544	26.5026474	0.001924462	0.004656292
486	1.30E-05	26.71661377	30.4379425	0.005171387	0.0046467  
487	2.04E-05	25.30854416	34.10039139	0.005765541	0.004085703
